name,address,city,zip_code,country,phone,additional_phone,email,website,facebook,instagram,category,score,ratings,opening_hours,is_temporarily_closed,is_permanently_closed,lat,lng,url,description,price,menu,booking_link,popular_times,special_category,has_owner,about,poi
Mon Square Restaurant,"31 Rue Saint-Dominique, 75007 Paris, France",Paris,75007,France,+33186640606,,,http://www.monsquarerestaurant.com/,,,"French restaurant, Restaurant",4.2,558,"Thursday 10 AM–2 AM, Friday 10 AM–2 AM, Saturday 10 AM–2 AM, Sunday 10 AM–2 AM, Monday 10 AM–2 AM, Tuesday 10 AM–2 AM, Wednesday 10 AM–2 AM",False,False,48.8590312,2.3202311,https://www.google.com/maps/place/Mon%2BSquare%2BRestaurant/data=!4m6!3m5!1s0x47e66ff09ba2decd:0x470017a47d9b9064!8m2!3d48.85903!4d2.32023!19sChIJzd6im_Bv5kcRZJCbfaQXAEc?authuser=0&hl=en&rclk=1,"Stylish venue offering creative plates, cocktails & desserts, plus a terrace & cathedral views.",,,https://www.monsquarerestaurant.com/reservations,,,True,,
Le Cinq,"31 Av. George V, 75008 Paris, France",Paris,75008,France,+33149527154,,,https://www.fourseasons.com/paris/dining/restaurants/le_cinq/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-par-fab-mid-seo-na&utm_content=na-na&utm_term=na,,,"Restaurant, Bar, Breakfast restaurant, Fine dining restaurant, French restaurant, Wine bar",4.7,1486,"Friday 7–10 PM, Saturday 7–10 PM, Sunday Closed, Monday Closed, Tuesday 7–10 PM, Wednesday 7–10 PM, Thursday 7–10 PM",False,False,48.868849,2.300683,https://www.google.com/maps/place/Le%2BCinq/data=!4m6!3m5!1s0x47e66fe8213334a9:0x905fb3540fe15d68!8m2!3d48.86885!4d2.30068!19sChIJqTQzIehv5kcRaF3hD1SzX5A?authuser=0&hl=en&rclk=1,"Creatively plated French dishes in a richly decorated, Regency-style dining room with a wine cellar.",Very expensive,,https://www.opentable.fr/restref/client/?restref=325620&lang=fr-FR&ot_source=Restaurant%20website&corrid=350c0a7c-2419-46b3-a470-176136ce2a5b,,,True,,
Le Bristol Paris,"112 Rue du Faubourg Saint-Honoré, 75008 Paris, France",Paris,75008,France,+33153434300,,,https://www.oetkercollection.com/fr/hotels/le-bristol-paris/?utm_source=google&utm_medium=local&utm_campaign=lebristolparis,,,"Restaurant, Bar, Haute French restaurant, Hotel, Spa",4.7,2843,,False,False,48.871686399999994,2.3147995999999997,https://www.google.com/maps/place/Le%2BBristol%2BParis/data=!4m6!3m5!1s0x47e66feaaa07e555:0xcefc7cb8984d6e2!8m2!3d48.87169!4d2.3148!19sChIJVeUHqupv5kcR4taEicvH7ww?authuser=0&hl=en&rclk=1,"Regal 1925 hotel offering plush rooms & suites, plus acclaimed restaurants, a spa & an indoor pool.",,,,,5-star tourist hotel,True,,
"Hollywood Savoy, Restaurant Paris 2","44 Rue Notre Dame des Victoires, 75002 Paris, France",Paris,75002,France,+33183648295,,,https://www.fitz-group.fr/hollywood-savoy-paris,,,"French restaurant, Cocktail bar, Event venue, Night club",4.2,599,"Thursday 11:30 AM–2 AM, Friday 11:30 AM–2 AM, Saturday 7 PM–2 AM, Sunday Closed, Monday 11:30 AM–2 AM, Tuesday 11:30 AM–2 AM, Wednesday 11:30 AM–2 AM",False,False,48.869106699999996,2.3423135,https://www.google.com/maps/place/Hollywood%2BSavoy%2C%2BRestaurant%2BParis%2B2/data=!4m6!3m5!1s0x47e66e3c571a33a7:0xeefffaea4dcf4ae7!8m2!3d48.86911!4d2.34231!19sChIJpzMaVzxu5kcR50rPTer6_-4?authuser=0&hl=en&rclk=1,"Elegantly decorated locale with a typical French menu, known for live rock & pop music.",Moderately expensive,,"https://www.sevenrooms.com/reservations/hollywoodsavoy?venues=hollywoodsavoy,fitzgerald,restaurantvesper,abstinence,lafontainegaillon",,,True,,
Mama Restaurant Paris West,"20 Av. de la Prte de la Plaine, 75015 Paris, France",Paris,75015,France,+33170941414,,,https://fr.mamashelter.com/paris-west/restaurants?utm_source=google+Maps&utm_medium=seo+maps&utm_campaign=seo+maps,,,Restaurant,4.2,883,"Thursday 7–10:30 AM 12–3 PM 7 PM–2 AM, Friday 7–10:30 AM 12–3 PM 7 PM–2 AM, Saturday 7–10:30 AM 12–3 PM 7 PM–2 AM, Sunday 7–10:30 AM 12:30–4 PM 7 PM–12 AM, Monday 7–10:30 AM 12–3 PM 7 PM–12 AM, Tuesday 7–10:30 AM 12–3 PM 7 PM–12 AM, Wednesday 7–10:30 AM 12–3 PM 7 PM–12 AM",False,False,48.8287134,2.29196,https://www.google.com/maps/place/Mama%2BRestaurant%2BParis%2BWest/data=!4m6!3m5!1s0x47e6711755d60969:0x634f798af4037d11!8m2!3d48.82871!4d2.29196!19sChIJaQnWVRdx5kcREX0D9Ip5T2M?authuser=0&hl=en&rclk=1,,,,https://fr.mamashelter.com/paris-west/restaurants/#booking-table,,,True,,
Les Cuivres - Restaurant Paris 11,"68 Av. de la République, 75011 Paris, France",Paris,75011,France,+33143551264,,,http://www.lescuivresparis.com/,,,"Restaurant, Bar, Cocktail bar, Mediterranean restaurant",4.7,1619,"Thursday 9:30 AM–2 AM, Friday 9:30 AM–2 AM, Saturday 9:30 AM–2 AM, Sunday Closed, Monday 9:30 AM–2 AM, Tuesday 9:30 AM–2 AM, Wednesday 9:30 AM–2 AM",False,False,48.864477699999995,2.3776096,https://www.google.com/maps/place/Les%2BCuivres%2B-%2BRestaurant%2BParis%2B11/data=!4m6!3m5!1s0x47e66da0ff65b757:0x206210ed2a6e062d!8m2!3d48.86448!4d2.37761!19sChIJV7dl_6Bt5kcRLQZuKu0QYiA?authuser=0&hl=en&rclk=1,,Moderately expensive,,,,,True,,
Amarante,"4 Rue Biscornet, 75012 Paris, France",Paris,75012,France,+33767332125,,,http://www.amarante.paris/,,,"French restaurant, Bistro, Offal pot cooking restaurant, Restaurant",4.6,418,,False,False,48.849496099999996,2.3699627,https://www.google.com/maps/place/Amarante/data=!4m6!3m5!1s0x47e67203c7cf6689:0xd65de9f65c19bd62!8m2!3d48.8495!4d2.36996!19sChIJiWbPxwNy5kcRYr0ZXPbpXdY?authuser=0&hl=en&rclk=1,"Bistro classics, plus traditional French pork & veal dishes, served in an understated setting.",,,,,,True,,
Le Tout-Paris,"8 Quai du Louvre, 75001 Paris, France",Paris,75001,France,+33179355022,,,http://letoutparis.fr/?y_source=1_MjM2NzUwMDEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,,French restaurant,4.6,1421,"Thursday 7 AM–1 AM, Friday 7 AM–1 AM, Saturday 7 AM–1 AM, Sunday 7 AM–1 AM, Monday 7 AM–1 AM, Tuesday 7 AM–1 AM, Wednesday 7 AM–1 AM",False,False,48.8587493,2.3422529,https://www.google.com/maps/place/Le%2BTout-Paris/data=!4m6!3m5!1s0x47e66f690b5482c5:0x6568bfb659691796!8m2!3d48.85875!4d2.34225!19sChIJxYJUC2lv5kcRlhdpWba_aGU?authuser=0&hl=en&rclk=1,Gourmet fare & panoramic Seine views in the chic rooftop eatery of the Cheval Blanc Paris hotel.,,,https://www.sevenrooms.com/reservations/letoutparis?lang=frfr&y_source=1_MjM2NzUwMDEtNzE1LWxvY2F0aW9uLnJlc2VydmF0aW9uX3VybA%3D%3D,,,True,,
Le Rey - Restaurant Paris 11,"130 Rue de la Roquette, 75011 Paris, France",Paris,75011,France,+33144540981,,,,,,"French restaurant, Bar, Brasserie",3.9,1648,"Thursday 7 AM–2 AM, Friday 7 AM–2 AM, Saturday 8 AM–2 AM, Sunday 8 AM–2 AM, Monday 7 AM–2 AM, Tuesday 7 AM–2 AM, Wednesday 7 AM–2 AM",False,False,48.8574128,2.3799262999999997,https://www.google.com/maps/place/Le%2BRey%2B-%2BRestaurant%2BParis%2B11/data=!4m6!3m5!1s0x47e66df7bd524e49:0xe50c7cb0287230f3!8m2!3d48.85741!4d2.37993!19sChIJSU5Svfdt5kcR8zByKLB8DOU?authuser=0&hl=en&rclk=1,"Classic brasserie fare like steak frites & charcuterie plates in a plush, wood-paneled space.",Moderately expensive,,,,,True,,
Au Bistrot de la Montagne,"38 Rue de la Montagne Ste Geneviève, 75005 Paris, France",Paris,75005,France,+33146335663,,,https://www.bistrotlamontagne.com/fr/,,,"French restaurant, Banquet hall, Diner, Event venue, Restaurant, Wedding buffet",4.4,499,"Thursday 9:30 AM–4 PM 6 PM–1 AM, Friday 9:30 AM–4 PM 6 PM–1 AM, Saturday 9:30 AM–4 PM 6 PM–1 AM, Sunday 9 AM–5 PM 6 PM–1 AM, Monday 9 AM–5 PM 6 PM–1 AM, Tuesday 9:30 AM–4 PM 6 PM–1 AM, Wednesday 9:30 AM–4 PM 6 PM–1 AM",False,False,48.847913999999996,2.348417,https://www.google.com/maps/place/Au%2BBistrot%2Bde%2Bla%2BMontagne/data=!4m6!3m5!1s0x47e671e66f7bbeed:0xb1743d34a22b6539!8m2!3d48.84791!4d2.34842!19sChIJ7b57b-Zx5kcROWUrojQ9dLE?authuser=0&hl=en&rclk=1,"Charming bistro with exposed-wood beams & vaulted stone ceilings, catering to large groups only.",Moderately expensive,,,,,True,,
Loulou,"107 Rue de Rivoli, 75001 Paris, France",Paris,75001,France,+33142604196,,,http://loulou-paris.com/,,,"Italian restaurant, Bar, French restaurant",4.1,3119,"Friday 12–2:30 PM 7–11:30 PM, Saturday 12–2:30 PM 7–11:30 PM, Sunday 12–2:30 PM 7–11 PM, Monday 12–2:30 PM 7–11 PM, Tuesday 12–2:30 PM 7–11 PM, Wednesday 12–2:30 PM 7–11 PM, Thursday 12–2:30 PM 7–11:30 PM",False,False,48.863055599999996,2.3333333,https://www.google.com/maps/place/Loulou/data=!4m6!3m5!1s0x47e66e2f64250cfd:0x3139484128ca8233!8m2!3d48.86306!4d2.33333!19sChIJ_QwlZC9u5kcRM4LKKEFIOTE?authuser=0&hl=en&rclk=1,Elegant restaurant within the Musée des Arts Décoratifs serving Italian & French cuisine.,Expensive,,,,,True,,
Sphère,"18 Rue La Boétie, 75008 Paris, France",Paris,75008,France,+33144900295,,,https://restaurantsphere.com/,,,"Haute French restaurant, French restaurant, Fusion restaurant, Modern French restaurant, Traditional restaurant",4.8,7687,"Friday 12–2:30 PM 7–10:30 PM, Saturday 12–2:30 PM 7–11 PM, Sunday 12–2:30 PM 7–10:30 PM, Monday Closed, Tuesday 12–2:30 PM 7–10:30 PM, Wednesday 12–2:30 PM 7–10:30 PM, Thursday 12–2:30 PM 7–10:30 PM",False,False,48.8742665,2.3169386999999997,https://www.google.com/maps/place/Sph%C3%A8re/data=!4m6!3m5!1s0x47e66f4c47058947:0xe1de61d4b89d1efb!8m2!3d48.87427!4d2.31694!19sChIJR4kFR0xv5kcR-x6duNRh3uE?authuser=0&hl=en&rclk=1,,Very expensive,,https://bookings.zenchef.com/results?rid=358497,,,True,,
Le Paris 17,"41 Rue Guersant, 75017 Paris, France",Paris,75017,France,+33145747527,,,http://www.restaurant-paris17.fr/,,,"French restaurant, Bistro, Restaurant",4.7,740,"Friday 12–2:30 PM 7–10:30 PM, Saturday 7–10:30 PM, Sunday Closed, Monday 12–2:30 PM 7–10:30 PM, Tuesday 12–2:30 PM 7–10:30 PM, Wednesday 12–2:30 PM 7–10:30 PM, Thursday 12–2:30 PM 7–10:30 PM",False,False,48.881963,2.2885736,https://www.google.com/maps/place/Le%2BParis%2B17/data=!4m6!3m5!1s0x47e66f8ddb67d5ad:0x8242f5d2df79db3f!8m2!3d48.88196!4d2.28857!19sChIJrdVn241v5kcRP9t539L1QoI?authuser=0&hl=en&rclk=1,Traditional French plates presented in a cozy bistro with vintage charm & nostalgic prints.,Moderately expensive,,http://bit.ly/2Uw7rjD,,,True,,
Signature,"12 Rue des Trois Frères, 75018 Paris, France",Paris,75018,France,+33184253000,,,https://www.signature-montmartre.fr/,,,Asian fusion restaurant,4.9,751,"Friday 7–11 PM, Saturday 7–11 PM, Sunday 7–11 PM, Monday Closed, Tuesday Closed, Wednesday 7–11 PM, Thursday 7–11 PM",False,False,48.884422199999996,2.3413207,https://www.google.com/maps/place/Signature/data=!4m6!3m5!1s0x47e66e437dade5f5:0xfa2c5ff39d71d4cb!8m2!3d48.88442!4d2.34132!19sChIJ9eWtfUNu5kcRy9RxnfNfLPo?authuser=0&hl=en&rclk=1,"Sophisticated Asian fusion cuisine with Korean flair, plus wine in an elegant, intimate setting.",,,,,,True,,
Cavale,"40 R. des Petites Écuries, 75010 Paris, France",Paris,75010,France,+33148240290,,,http://www.cavale.eatbu.com/,,,"Restaurant, Bistro, Cafe, Cocktail bar",4.8,602,"Thursday 10 AM–2 AM, Friday 10 AM–2 AM, Saturday 10 AM–2 AM, Sunday 10 AM–2 AM, Monday 10 AM–2 AM, Tuesday 10 AM–2 AM, Wednesday 10 AM–2 AM",False,False,48.8739306,2.3502623,https://www.google.com/maps/place/Cavale/data=!4m6!3m5!1s0x47e66e148b107b55:0x844b3807e595db44!8m2!3d48.87393!4d2.35026!19sChIJVXsQixRu5kcRRNuV5Qc4S4Q?authuser=0&hl=en&rclk=1,,Moderately expensive,,https://cavale.eatbu.com/?lang=fr%23reservation,,,True,,
Chez Nicos,"44 Rue Mouffetard, 75005 Paris, France",Paris,75005,France,+33145872813,,,http://cheznicos.fr/,,,"Creperie, Fast food restaurant",4.8,2312,"Thursday 9 AM–2 AM, Friday 9 AM–2 AM, Saturday 9 AM–2 AM, Sunday 9 AM–2 AM, Monday 9 AM–2 AM, Tuesday 9 AM–2 AM, Wednesday 9 AM–2 AM",False,False,48.843566499999994,2.349374,https://www.google.com/maps/place/Chez%2BNicos/data=!4m6!3m5!1s0x47e671eed61df861:0xb942703ee322e75!8m2!3d48.84357!4d2.34937!19sChIJYfgd1u5x5kcRdS4y7gMnlAs?authuser=0&hl=en&rclk=1,"Basic, compact counter-serve cafe & walk-up window turning out sweet or savory crepes & panini.",Inexpensive,,,,,True,,
Le Colimaçon,"44 Rue Vieille du Temple, 75004 Paris, France",Paris,75004,France,+33148871201,,,https://bookings.zenchef.com/results?rid=81041&pid=1001&isPreview=1,,,"French restaurant, Grill, Traditional restaurant",4.6,2072,"Friday 6:30–11 PM, Saturday 6:30–11 PM, Sunday 12:30–3 PM 6:30–11 PM, Monday 6:30–11 PM, Tuesday 6:30–11 PM, Wednesday 6:30–11 PM, Thursday 6:30–11 PM",False,False,48.858011999999995,2.3580635,https://www.google.com/maps/place/Le%2BColima%C3%A7on/data=!4m6!3m5!1s0x47e66e02fb1790d3:0x2c3aa6eb209360fb!8m2!3d48.85801!4d2.35806!19sChIJ05AX-wJu5kcR-2CTIOumOiw?authuser=0&hl=en&rclk=1,Creative takes on French bistro dishes in a snug space with raw-stone walls & wooden beams.,Moderately expensive,,https://booking.zenchef.com/results?rid=8104&pid=1001&isPreview=1,,,True,,
Favela Chic,"18 Rue du Faubourg du Temple, 75011 Paris, France",Paris,75011,France,+33140213814,,,http://favelachic.com/,,,"Brazilian restaurant, Bar, Club, Cocktail bar, Dance restaurant, Night club",3.6,2047,"Thursday 7:30 PM–2 AM, Friday 7:30 PM–5 AM, Saturday 7:30 PM–5 AM, Sunday Closed, Monday Closed, Tuesday Closed, Wednesday 7:30 PM–2 AM",False,False,48.86824,2.366323,https://www.google.com/maps/place/Favela%2BChic/data=!4m6!3m5!1s0x47e66e084a56886f:0xb0827c40d74a26fa!8m2!3d48.86824!4d2.36632!19sChIJb4hWSghu5kcR-iZK10B8grA?authuser=0&hl=en&rclk=1,"Brazilian food with French influences, plus cocktails, in a colorful space with communal tables.",Moderately expensive,,https://bookings.zenchef.com/results?rid=372304&pid=1001,,,True,,
Ritz Paris,"15 Pl. Vendôme, 75001 Paris, France",Paris,75001,France,+33143163030,,,https://www.ritzparis.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb_ritz_paris,,,Hotel,4.7,3886,,False,False,48.8680987,2.3288932,https://www.google.com/maps/place/Ritz%2BParis/data=!4m6!3m5!1s0x47e66f50e4922355:0x4e7e02b37682a099!8m2!3d48.8681!4d2.32889!19sChIJVSOS5FBv5kcRmaCCdrMCfk4?authuser=0&hl=en&rclk=1,"Renowned luxury hotel with posh quarters & upscale dining, plus a chic spa & a gym.",,,,,5-star tourist hotel,True,,
Pavyllon Paris - Yannick Alléno,"8 Av. Dutuit, 75008 Paris, France",Paris,75008,France,+33153051010,,,https://www.yannick-alleno.com/les-etablissements-du-groupe/pavyllon-paris,,,"Fine dining restaurant, Brunch restaurant, French restaurant, Haute French restaurant, Modern French restaurant, Restaurant",4.5,1509,"Friday 12–2:30 PM 7–10:30 PM, Saturday 12–2:30 PM 7–10:30 PM, Sunday 12–2:30 PM 7–10:30 PM, Monday 12–2:30 PM 7–10:30 PM, Tuesday 12–2:30 PM 7–10:30 PM, Wednesday 12–2:30 PM 7–10:30 PM, Thursday 12–2:30 PM 7–10:30 PM",False,False,48.8662387,2.3164818,https://www.google.com/maps/place/Pavyllon%2BParis%2B-%2BYannick%2BAll%C3%A9no/data=!4m6!3m5!1s0x47e66ffbad15bd35:0xf879deb42a2de831!8m2!3d48.86624!4d2.31648!19sChIJNb0Vrftv5kcRMegtKrTeefg?authuser=0&hl=en&rclk=1,,Very expensive,,,,,True,,
Girafe Restaurant,"1 Pl. du Trocadéro et du 11 Novembre, 75016 Paris, France",Paris,75016,France,+33140627061,,,https://girafe-restaurant.com/?utm_source=Yext&utm_medium=GMB&y_source=1_MjU3NjI3ODUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,,"French restaurant, Lounge, Seafood restaurant",3.9,4142,"Thursday 12–2:30 PM 6 PM–2 AM, Friday 12–2:30 PM 6 PM–2 AM, Saturday 12–2:30 PM 7 PM–2 AM, Sunday 12–2:30 PM 7 PM–2 AM, Monday 12–2:30 PM 6 PM–2 AM, Tuesday 12–2:30 PM 6 PM–2 AM, Wednesday 12–2:30 PM 6 PM–2 AM",False,False,48.8630338,2.2885823,https://www.google.com/maps/place/Girafe%2BRestaurant/data=!4m6!3m5!1s0x47e66fc3be4bbac3:0xc2c29f01c3bd849d!8m2!3d48.86303!4d2.28858!19sChIJw7pLvsNv5kcRnYS9wwGfwsI?authuser=0&hl=en&rclk=1,Gourmet seafood dishes in an upscale restaurant with a terrace & Eiffel Tower views.,,,,,,True,,
